Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
326,Norwich University,Private School,"$70,400 ","$121,700 ",20%
326,California State University-Monterey Bay,State School,"$64,400 ","$121,700 ",15%
326,Principia College,"Liberal Arts School, Private School","$70,900 ","$121,700 ",30%
329,Allegheny College,"Liberal Arts School, Private School, Religious","$62,700 ","$121,600 ",31%
329,CUNY Brooklyn College,State School,"$65,800 ","$121,600 ",11%
329,Sarah Lawrence College,"Liberal Arts School, Private School","$67,300 ","$121,600 ",0%
329,University of Scranton,"Private School, Religious","$67,400 ","$121,600 ",14%
329,William Jewell College,"Liberal Arts School, Private School","$62,400 ","$121,600 ",14%
329,University of Kansas,"Research University, For Sports Fans, State School","$67,200 ","$121,600 ",17%
335,Western New England University,Private School,"$73,300 ","$121,500 ",19%
336,Oklahoma State University-Main Campus,"Research University, For Sports Fans, State School","$65,700 ","$121,400 ",25%
336,Lynn University,Private School,"$57,400 ","$121,400 ",3%
336,University of Alaska Anchorage,State School,"$70,700 ","$121,400 ",10%
339,The University of Texas at Arlington,"Research University, For Sports Fans, State School","$70,300 ","$121,300 ",17%
339,Loma Linda University,"Private School, Religious","$85,400 ","$121,300 ",3%
339,St. Mary's College of Maryland,"Liberal Arts School, State School","$66,800 ","$121,300 ",23%
342,Ramapo College of New Jersey,State School,"$65,000 ","$121,100 ",12%
342,California State University-Sacramento,"For Sports Fans, State School","$68,900 ","$121,100 ",17%
342,University of Michigan-Dearborn,State School,"$70,200 ","$121,100 ",45%
345,Polytechnic University of Puerto Rico-Orlando,"Engineering, Private School","$70,300 ","$121,000 ",64%
346,California State University-Northridge,"For Sports Fans, State School","$65,300 ","$120,900 ",12%
346,Arizona State University Campus Immersion,"Research University, For Sports Fans, State School","$68,900 ","$120,900 ",26%
346,Emerson College,Private School,"$63,200 ","$120,900 ",0%
349,North Dakota State University-Main Campus,"Research University, For Sports Fans, State School","$68,800 ","$120,800 ",25%
350,Christian Brothers University,"Private School, Religious","$64,100 ","$120,700 ",29%
350,Salve Regina University,"Private School, Religious","$69,000 ","$120,700 ",5%
350,The University of Texas at Dallas,"Research University, State School","$74,400 ","$120,700 ",48%
350,University of New Hampshire-Main Campus,"Research University, For Sports Fans, State School","$69,700 ","$120,700 ",24%
354,Ohio State University-Main Campus,"Research University, For Sports Fans, State School","$71,600 ","$120,600 ",27%
355,Indiana University-Bloomington,"Research University, For Sports Fans, State School","$68,100 ","$120,500 ",17%
356,University of Wisconsin-Platteville,State School,"$73,200 ","$120,400 ",37%
356,Pacific Union College,"Liberal Arts School, Private School, Religious","$69,600 ","$120,400 ",5%
358,Duquesne University,"Private School, Religious, Research University, For Sports Fans","$67,200 ","$120,300 ",12%
358,University of Oklahoma-Norman Campus,"Research University, For Sports Fans, State School","$68,300 ","$120,300 ",22%
358,University of Mary Washington,State School,"$67,000 ","$120,300 ",20%
358,Dunwoody College of Technology,Private School,"$69,000 ","$120,300 ",18%
362,Chapman University,"Private School, Religious","$70,500 ","$120,200 ",7%
362,Wheaton College (Massachusetts),"Liberal Arts School, Private School","$64,500 ","$120,200 ",26%
362,Loras College,"Private School, Religious","$61,300 ","$120,200 ",12%
365,Hartwick College,"Liberal Arts School, Private School","$65,100 ","$120,100 ",15%
366,Rider University,"Private School, For Sports Fans","$64,500 ","$120,000 ",5%
366,Vaughn College of Aeronautics and Technology,Private School,"$72,400 ","$120,000 ",8%
366,McDaniel College,"Liberal Arts School, Private School","$62,600 ","$120,000 ",4%
369,University of Arkansas,"Research University, For Sports Fans, State School","$67,300 ","$119,900 ",18%
369,University of Nebraska-Lincoln,"Research University, For Sports Fans, State School","$64,900 ","$119,900 ",23%
371,SUNY College at Geneseo,State School,"$65,100 ","$119,700 ",18%
372,California State University-Stanislaus,State School,"$64,100 ","$119,600 ",8%
372,Colorado State University-Fort Collins,"Research University, For Sports Fans, State School","$68,100 ","$119,600 ",32%
374,Brigham Young University-Idaho,"Private School, Religious","$67,200 ","$119,300 ",17%
375,Dickinson College,"Liberal Arts School, Private School","$69,700 ","$118,900 ",27%
375,Touro University,Private School,"$72,500 ","$118,900 ",7%
375,Point Loma Nazarene University,"Private School, Religious","$66,700 ","$118,900 ",10%
378,Lewis & Clark College,"Liberal Arts School, Private School","$64,700 ","$118,800 ",12%
378,Westminster College (Missouri),"Liberal Arts School, Private School, Religious","$56,800 ","$118,800 ",22%
380,Linfield University,"Liberal Arts School, Private School","$65,900 ","$118,700 ",6%
381,CUNY Queens College,State School,"$68,100 ","$118,500 ",13%
381,Central Washington University,State School,"$67,700 ","$118,500 ",11%
381,Concordia University-Irvine,"Private School, Religious","$65,400 ","$118,500 ",3%
384,University of North Dakota,"Research University, For Sports Fans, State School","$68,200 ","$118,400 ",14%
385,Hamline University,"Private School, Religious","$63,000 ","$118,300 ",4%
386,Suffolk University,"Private School, Research University","$67,900 ","$118,200 ",6%
387,Stevenson University,Private School,"$63,400 ","$118,100 ",15%
388,Northern Illinois University,"Research University, For Sports Fans, State School","$67,500 ","$118,000 ",17%
388,University of Maryland Global Campus,State School,"$70,000 ","$118,000 ",30%
390,University at Buffalo,"Research University, For Sports Fans, State School","$69,200 ","$117,900 ",34%
390,Prairie View A & M University,"Research University, For Sports Fans, State School","$72,300 ","$117,900 ",20%
390,University of Houston-Clear Lake,State School,"$63,000 ","$117,900 ",20%
393,Holy Cross College,"Liberal Arts School, Private School, Religious","$62,600 ","$117,800 ",7%
393,University of Colorado Denver/Anschutz Medical Campus,"Research University, State School","$67,700 ","$117,800 ",19%
393,Mount St. Mary's University,"Private School, Religious","$62,600 ","$117,800 ",12%
396,University of New Haven,Private School,"$65,400 ","$117,700 ",19%
396,Cornell College,"Liberal Arts School, Private School, Religious","$65,100 ","$117,700 ",31%
398,Kennesaw State University,"Research University, State School","$68,000 ","$117,600 ",27%
398,Lamar University,"Research University, For Sports Fans, State School","$67,400 ","$117,600 ",9%
400,Oberlin College,"Liberal Arts School, Private School","$69,200 ","$117,500 ",22%
401,Kansas State University,"Research University, For Sports Fans, State School","$66,600 ","$117,400 ",19%
402,Canisius College,"Private School, Religious, For Sports Fans","$60,500 ","$117,300 ",16%
402,Excelsior University,Private School,"$68,400 ","$117,300 ",2%
402,Temple University,"Research University, For Sports Fans, State School","$67,600 ","$117,300 ",15%
405,Macalester College,"Liberal Arts School, Private School, Religious","$68,100 ","$117,100 ",34%
406,Alma College,"Liberal Arts School, Private School, Religious","$61,500 ","$117,000 ",16%
406,Nichols College,"Business, Private School","$68,600 ","$117,000 ",0%
408,College of Staten Island CUNY,State School,"$65,600 ","$116,900 ",17%
408,Saint Anselm College,"Liberal Arts School, Private School, Religious","$71,000 ","$116,900 ",15%
408,University of Massachusetts-Dartmouth,"Research University, State School","$68,600 ","$116,900 ",20%
411,Utah State University,"Research University, For Sports Fans, State School","$66,200 ","$116,800 ",13%
411,Saint Xavier University,"Private School, Religious","$63,300 ","$116,800 ",15%
413,Shepherd University,"Liberal Arts School, State School","$61,600 ","$116,700 ",13%
413,Saint Michael's College,"Liberal Arts School, Private School, Religious","$63,500 ","$116,700 ",19%
413,The University of Alabama,"Party School, Research University, For Sports Fans, State School","$67,700 ","$116,700 ",17%
416,Manhattanville College,Private School,"$70,200 ","$116,600 ",3%
416,Saint Peter's University,"Private School, Religious, For Sports Fans","$63,300 ","$116,600 ",15%
416,New England Institute of Technology,Private School,"$68,300 ","$116,600 ",14%
416,Regis University,"Private School, Religious","$69,400 ","$116,600 ",12%
420,Farmingdale State College,State School,"$67,400 ","$116,500 ",11%
420,The University of Texas Health Science Center at Houston,State School,"$83,000 ","$116,500 ",16%
420,Quinnipiac University,"Private School, For Sports Fans","$71,400 ","$116,500 ",9%
420,Montana State University,"Research University, For Sports Fans, State School","$67,100 ","$116,500 ",32%
424,St. Mary's University,"Private School, Religious","$66,900 ","$116,400 ",18%
425,University of Cincinnati-Main Campus,"Research University, For Sports Fans, State School","$68,100 ","$116,300 ",22%
425,North Carolina A & T State University,"Research University, For Sports Fans, State School","$68,700 ","$116,300 ",30%
425,Illinois State University,"Research University, For Sports Fans, State School","$64,000 ","$116,300 ",10%
425,Louisiana Tech University,"Research University, For Sports Fans, State School","$66,500 ","$116,300 ",23%
429,Widener University,"Private School, Research University","$70,300 ","$116,100 ",10%
429,The University of Tampa,Private School,"$62,600 ","$116,100 ",15%
429,Valparaiso University,"Private School, Religious, For Sports Fans","$67,500 ","$116,100 ",22%
432,Gordon College,"Liberal Arts School, Private School, Religious, Sober School","$62,900 ","$116,000 ",16%
433,CUNY Hunter College,"Sober School, State School","$67,400 ","$115,900 ",12%
433,College of Mount Saint Vincent,"Private School, Religious","$64,400 ","$115,900 ",3%
433,Saint Edward's University,"Private School, Religious","$64,200 ","$115,900 ",13%
436,Xavier University,"Private School, Religious, For Sports Fans","$66,300 ","$115,800 ",5%
437,Washington Adventist University,"Private School, Religious","$66,800 ","$115,600 ",7%
438,Trinity International University-Illinois,"Private School, Religious, Research University","$57,900 ","$115,500 ",2%
439,Roger Williams University,Private School,"$68,700 ","$115,400 ",16%
439,Abilene Christian University,"Private School, Religious, For Sports Fans","$63,600 ","$115,400 ",9%
441,University of North Carolina at Charlotte,"Research University, For Sports Fans, State School","$66,900 ","$115,300 ",28%
441,The University of Texas Medical Branch at Galveston,State School,"$73,800 ","$115,300 ",4%
441,Towson University,"For Sports Fans, State School","$64,800 ","$115,300 ",16%
444,Ohio University-Main Campus,"Research University, For Sports Fans, State School","$65,200 ","$115,200 ",12%
444,Florida State University,"Party School, Research University, For Sports Fans, State School","$64,500 ","$115,200 ",18%
444,Birmingham-Southern College,"Liberal Arts School, Private School, Religious","$66,500 ","$115,200 ",18%
444,Mount Holyoke College,"Liberal Arts School, Private School","$67,400 ","$115,200 ",26%
448,Otis College of Art and Design,"Art, Private School","$66,800 ","$115,100 ",0%
448,Creighton University,"Private School, Religious, For Sports Fans","$69,000 ","$115,100 ",10%
448,Massachusetts College of Art and Design,"Art, State School","$64,800 ","$115,100 ",0%
451,Lebanon Valley College,"Private School, Religious","$63,800 ","$115,000 ",12%
451,Louisiana State University Health Sciences Center-Shreveport,State School,"$69,500 ","$115,000 ",5%
453,CUNY City College,State School,"$70,300 ","$114,900 ",31%
453,Knox College,"Liberal Arts School, Private School","$67,600 ","$114,900 ",24%
453,Millsaps College,"Liberal Arts School, Private School, Religious","$61,500 ","$114,900 ",31%
453,University of Kentucky,"Research University, For Sports Fans, State School","$65,100 ","$114,900 ",18%
453,Berklee College of Music,"Art, Private School","$61,900 ","$114,900 ",21%
458,Thomas Edison State University,State School,"$66,100 ","$114,800 ",2%
458,Brigham Young University-Hawaii,"Private School, Religious","$64,200 ","$114,800 ",14%
458,Oglethorpe University,"Liberal Arts School, Private School","$64,300 ","$114,800 ",26%
458,University of Colorado Colorado Springs,State School,"$65,800 ","$114,800 ",21%
462,Cornish College of the Arts,"Art, Private School","$66,200 ","$114,700 ",0%
462,McMurry University,"Private School, Religious","$64,700 ","$114,700 ",13%
462,"University of Maryland, Baltimore",State School,"$76,400 ","$114,700 ",3%
465,Ohio State University-Mansfield Campus,State School,"$55,700 ","$114,600 ",0%
465,Shippensburg University of Pennsylvania,State School,"$62,100 ","$114,600 ",12%
465,California State University-Bakersfield,"For Sports Fans, State School","$60,800 ","$114,600 ",13%
465,Woodbury University,Private School,"$63,900 ","$114,600 ",0%
469,University of New Mexico-Main Campus,"Research University, For Sports Fans, State School","$60,000 ","$114,500 ",19%
469,Utah Valley University,"For Sports Fans, State School","$65,100 ","$114,500 ",17%
471,Rutgers University-Camden,"For Sports Fans, State School","$64,000 ","$114,400 ",8%
471,California State University-Los Angeles,State School,"$62,600 ","$114,400 ",14%
473,Felician University,"Private School, Religious","$64,000 ","$114,300 ",12%
473,University of Bridgeport,Private School,"$62,000 ","$114,300 ",8%
473,Calvin University,"Private School, Religious, Sober School","$61,600 ","$114,300 ",24%
476,City University of Seattle,Private School,"$62,700 ","$114,100 ",10%
476,California State University-San Marcos,State School,"$66,300 ","$114,100 ",13%
476,Scripps College,"Liberal Arts School, Private School","$71,800 ","$114,100 ",21%
479,Lycoming College,"Liberal Arts School, Private School, Religious","$60,900 ","$114,000 ",18%
479,University of Maine,"Party School, Research University, For Sports Fans, State School","$68,000 ","$114,000 ",22%
481,The University of Tennessee-Knoxville,"Research University, For Sports Fans, State School","$65,000 ","$113,900 ",22%
481,University of Hawaii at Manoa,"Research University, For Sports Fans, State School","$66,000 ","$113,900 ",19%
481,Minneapolis College of Art and Design,"Art, Private School","$60,400 ","$113,900 ",0%
481,Mississippi State University,"Research University, For Sports Fans, State School","$64,600 ","$113,900 ",28%
485,Vermont Technical College,State School,"$68,400 ","$113,800 ",6%
486,New Mexico State University-Main Campus,"Research University, For Sports Fans, State School","$61,200 ","$113,700 ",26%
486,University of South Florida,"Research University, For Sports Fans, State School","$64,200 ","$113,700 ",24%
488,Fairleigh Dickinson University-Metropolitan Campus,Private School,"$65,700 ","$113,600 ",14%
489,University of North Texas,"Research University, For Sports Fans, State School","$63,700 ","$113,500 ",17%
489,Rush University,Private School,"$76,600 ","$113,500 ",6%
489,University of Nevada-Reno,"Research University, For Sports Fans, State School","$66,100 ","$113,500 ",25%
492,Houston Baptist University,"Private School, Religious, For Sports Fans","$62,400 ","$113,400 ",7%
492,Saint Louis University,"Private School, Religious, Research University, For Sports Fans","$67,500 ","$113,400 ",16%
494,Central Connecticut State University,"For Sports Fans, State School","$68,700 ","$113,300 ",16%
494,Thomas Aquinas College,"Liberal Arts School, Private School, Religious, Sober School","$63,700 ","$113,300 ",0%
494,Benedictine College,"Private School, Religious","$61,200 ","$113,300 ",17%
497,SUNY College at Old Westbury,State School,"$61,400 ","$113,200 ",11%
497,California Institute of the Arts,"Art, Private School","$71,600 ","$113,200 ",4%
499,Southwestern Oklahoma State University,State School,"$59,500 ","$113,100 ",6%
499,Elon University,"Party School, Private School, For Sports Fans","$68,800 ","$113,100 ",7%
499,Wilkes University,Private School,"$66,000 ","$113,100 ",11%
499,Tennessee Technological University,"Research University, For Sports Fans, State School","$68,500 ","$113,100 ",28%
499,Stetson University,"Private School, For Sports Fans","$58,500 ","$113,100 ",7%
504,California State University-Channel Islands,State School,"$63,500 ","$113,000 ",15%
505,SUNY Polytechnic Institute,State School,"$65,700 ","$112,900 ",34%
505,Hampton University,"Private School, For Sports Fans","$66,400 ","$112,900 ",13%
505,Oakland University,"Research University, For Sports Fans, State School","$64,500 ","$112,900 ",22%
508,Universidad Politecnica de Puerto Rico,"Engineering, Private School","$67,400 ","$112,800 ",73%
508,Texas Tech University Health Sciences Center,State School,"$76,000 ","$112,800 ",2%
510,University of Washington-Tacoma Campus,State School,"$72,800 ","$112,700 ",29%
511,Ripon College,"Liberal Arts School, Private School","$58,300 ","$112,600 ",21%
512,Messiah University,"Private School, Religious","$63,300 ","$112,500 ",12%
512,University of Wyoming,"Research University, For Sports Fans, State School","$65,800 ","$112,500 ",22%
512,Eckerd College,"Liberal Arts School, Private School, Religious","$64,400 ","$112,500 ",44%
515,Portland State University,"Research University, For Sports Fans, State School","$65,400 ","$112,400 ",18%
515,William Paterson University of New Jersey,State School,"$62,600 ","$112,400 ",7%
515,Saint Martin's University,"Private School, Religious","$69,100 ","$112,400 ",36%
515,Trine University,Private School,"$69,200 ","$112,400 ",36%
515,Frostburg State University,State School,"$63,300 ","$112,400 ",14%
520,Alfred University,Private School,"$60,600 ","$112,300 ",20%
521,Monmouth University,"Private School, For Sports Fans","$65,500 ","$112,200 ",10%
521,Augustana University,"Private School, Religious","$59,200 ","$112,200 ",15%
521,University of Louisiana at Monroe,"Research University, For Sports Fans, State School","$61,000 ","$112,200 ",7%
524,St. Francis College,"Private School, For Sports Fans","$66,000 ","$112,100 ",11%
524,Bennington College,"Liberal Arts School, Private School","$59,900 ","$112,100 ",8%
524,Georgia State University,"Research University, For Sports Fans, State School","$65,800 ","$112,100 ",21%
524,Simmons University,"Private School, Sober School","$68,800 ","$112,100 ",2%
528,University of North Georgia,State School,"$59,600 ","$112,000 ",12%
528,Saint Mary's University of Minnesota,"Private School, Religious","$66,900 ","$112,000 ",5%
528,Goucher College,"Liberal Arts School, Private School","$63,000 ","$112,000 ",9%
531,Notre Dame de Namur University,"Private School, Religious","$72,100 ","$111,900 ",13%
532,Bard College,"Liberal Arts School, Private School","$62,600 ","$111,800 ",0%
532,SUNY at Purchase College,"Art, Liberal Arts School, State School","$64,000 ","$111,800 ",5%
532,Champlain College,Private School,"$66,200 ","$111,800 ",31%
532,University of Wisconsin-Eau Claire,State School,"$65,600 ","$111,800 ",12%
532,Southwestern University,"Liberal Arts School, Private School, Religious","$64,300 ","$111,800 ",21%
532,Central College,"Liberal Arts School, Private School, Religious","$65,500 ","$111,800 ",40%
538,West Virginia Wesleyan College,"Private School, Religious","$55,900 ","$111,700 ",18%
538,Embry-Riddle Aeronautical University-Worldwide,Private School,"$72,100 ","$111,700 ",7%
540,Dominican University New York,Private School,"$67,000 ","$111,600 ",4%
540,SUNY College of Technology at Delhi,State School,"$62,500 ","$111,600 ",3%
540,Weber State University,"For Sports Fans, State School","$68,400 ","$111,600 ",12%
540,Carroll College,"Private School, Religious","$59,900 ","$111,600 ",22%
544,AdventHealth University,"Private School, Religious","$65,400 ","$111,500 ",4%
544,Western Michigan University,"Research University, For Sports Fans, State School","$65,000 ","$111,500 ",15%
546,Moravian University,"Liberal Arts School, Private School, Religious","$65,000 ","$111,400 ",10%
546,University of Providence,"Private School, Religious","$54,500 ","$111,400 ",5%
548,St Bonaventure University,"Private School, Religious, For Sports Fans","$61,000 ","$111,300 ",8%
548,Bethany College (West Virginia),"Liberal Arts School, Private School, Religious","$59,200 ","$111,300 ",32%
548,Ottawa University-Kansas City,"Private School, Religious","$62,400 ","$111,300 ",44%
551,Hendrix College,"Liberal Arts School, Private School, Religious","$58,400 ","$111,200 ",30%
551,Hope College,"Liberal Arts School, Private School, Religious","$63,700 ","$111,200 ",20%
551,Rockhurst University,"Private School, Religious","$63,700 ","$111,200 ",9%
554,University of Massachusetts-Boston,"Research University, State School","$67,500 ","$111,100 ",16%
555,Le Moyne College,"Private School, Religious","$64,200 ","$111,000 ",13%
555,Southern Illinois University-Carbondale,"Research University, For Sports Fans, State School","$61,400 ","$111,000 ",15%
555,University of Evansville,"Private School, Religious, For Sports Fans","$61,900 ","$111,000 ",16%
555,Lewis University,"Private School, Religious","$65,100 ","$111,000 ",18%
555,Saint Cloud State University,State School,"$66,800 ","$111,000 ",17%
555,University of Detroit Mercy,"Private School, Religious, For Sports Fans","$66,200 ","$111,000 ",22%
555,University of New Orleans,"Research University, For Sports Fans, State School","$61,300 ","$111,000 ",28%
562,California State Polytechnic University-Humboldt,State School,"$58,300 ","$110,900 ",20%
562,Simpson College,"Liberal Arts School, Private School, Religious","$63,700 ","$110,900 ",16%
564,Marymount University,"Private School, Religious","$66,500 ","$110,800 ",21%
564,The University of Texas Health Science Center at San Antonio,State School,"$71,500 ","$110,800 ",5%
564,Saint Mary's College,"Liberal Arts School, Private School, Religious","$59,500 ","$110,800 ",14%
564,University of New England,Private School,"$61,300 ","$110,800 ",9%
568,Southern Illinois University-Edwardsville,"For Sports Fans, State School","$66,300 ","$110,700 ",18%
568,Franklin College,"Liberal Arts School, Private School, Religious","$63,100 ","$110,700 ",17%
570,Bridgewater College,"Liberal Arts School, Private School, Religious","$53,600 ","$110,600 ",18%
570,Florida International University,"Research University, For Sports Fans, State School","$62,500 ","$110,600 ",18%
572,University of St Thomas (Texas),"Private School, Religious","$62,600 ","$110,500 ",9%
572,Northern Arizona University,"Research University, For Sports Fans, State School","$63,300 ","$110,500 ",16%
574,Adelphi University,"Private School, Research University","$67,000 ","$110,400 ",10%
574,University of New Hampshire at Manchester,"Liberal Arts School, State School","$66,800 ","$110,400 ",41%
574,Laguna College of Art and Design,"Art, Private School","$70,200 ","$110,400 ",0%
574,Truman State University,State School,"$61,600 ","$110,400 ",17%
578,Franciscan University of Steubenville,"Private School, Religious","$61,800 ","$110,300 ",7%
578,Bellin College,Private School,"$72,500 ","$110,300 ",0%
578,Sam Houston State University,"Research University, For Sports Fans, State School","$59,900 ","$110,300 ",5%
578,Augsburg University,"Private School, Religious","$64,700 ","$110,300 ",8%
578,Missouri State University-Springfield,"For Sports Fans, State School","$58,200 ","$110,300 ",11%
578,Emmanuel College,"Liberal Arts School, Private School, Religious","$63,900 ","$110,300 ",21%
584,Westminster College (Utah),Private School,"$63,900 ","$110,200 ",11%
584,Randolph College,"Liberal Arts School, Private School","$61,300 ","$110,200 ",23%
584,Saint Norbert College,"Liberal Arts School, Private School, Religious","$62,200 ","$110,200 ",14%
584,Thomas Jefferson University,Private School,"$74,500 ","$110,200 ",5%
584,Waynesburg University,"Private School, Religious","$60,300 ","$110,200 ",7%
589,University of Oklahoma-Health Sciences Center,State School,"$68,000 ","$110,100 ",3%
589,Chaminade University of Honolulu,"Private School, Religious","$58,000 ","$110,100 ",5%
589,Loyola University New Orleans,"Private School, Religious","$59,600 ","$110,100 ",6%
592,Western Governors University,Private School,"$69,800 ","$110,000 ",14%
593,St. John's College (New Mexico),"Liberal Arts School, Private School","$67,000 ","$109,900 ",0%
593,Florida Atlantic University,"Research University, For Sports Fans, State School","$62,600 ","$109,900 ",16%
593,National University,Private School,"$69,000 ","$109,900 ",6%
593,Minnesota State University-Mankato,State School,"$65,400 ","$109,900 ",14%
597,Rowan University,"Research University, State School","$64,300 ","$109,800 ",23%
597,Jacksonville University,"Private School, For Sports Fans","$64,300 ","$109,800 ",7%
599,St. John Fisher University,"Private School, Religious, Research University","$61,600 ","$109,700 ",6%
600,University of Nevada-Las Vegas,"Research University, For Sports Fans, State School","$63,300 ","$109,600 ",15%
601,Molloy College,"Private School, Religious","$75,900 ","$109,500 ",3%
602,Stephen F Austin State University,"For Sports Fans, State School","$58,300 ","$109,400 ",7%
602,College for Creative Studies,Private School,"$65,400 ","$109,400 ",8%
602,Sierra Nevada University,Private School,"$62,800 ","$109,400 ",3%
605,Bushnell University,"Private School, Religious","$61,400 ","$109,300 ",3%
605,SUNY College of Technology at Alfred,State School,"$64,800 ","$109,300 ",7%
605,Concordia University-Saint Paul,"Private School, Religious","$63,400 ","$109,300 ",5%
605,Eastern Nazarene College,"Private School, Religious","$58,100 ","$109,300 ",11%
609,Bowling Green State University-Main Campus,"Research University, For Sports Fans, State School","$59,700 ","$109,200 ",10%
609,George Fox University,"Private School, Religious","$65,800 ","$109,200 ",12%
609,University of Wisconsin-La Crosse,State School,"$63,400 ","$109,200 ",19%
609,The University of Texas at El Paso,"Research University, For Sports Fans, State School","$59,400 ","$109,200 ",26%
609,Texas A & M University-Commerce,"Research University, State School","$59,500 ","$109,200 ",11%
609,University of Louisiana at Lafayette,"Research University, For Sports Fans, State School","$59,900 ","$109,200 ",19%
615,SUNY College of Environmental Science and Forestry,"Research University, State School","$64,000 ","$109,100 ",49%
615,The University of Texas Permian Basin,State School,"$68,200 ","$109,100 ",14%
615,Azusa Pacific University,"Private School, Religious, Research University","$64,400 ","$109,100 ",3%
615,Dean College,Private School,"$54,700 ","$109,100 ",1%
619,University of Toledo,"Research University, For Sports Fans, State School","$65,800 ","$109,000 ",24%
619,The University of Texas at San Antonio,"Research University, For Sports Fans, State School","$64,700 ","$109,000 ",26%
619,Centenary College of Louisiana,"Liberal Arts School, Private School, Religious","$58,100 ","$109,000 ",29%
619,Framingham State University,State School,"$63,700 ","$109,000 ",7%
623,University of Wisconsin-Milwaukee,"Research University, For Sports Fans, State School","$65,200 ","$108,900 ",16%
623,Texas State University,"Research University, For Sports Fans, State School","$64,000 ","$108,900 ",12%
625,University of Lynchburg,"Private School, Religious","$59,600 ","$108,800 ",10%
625,University of Central Florida,"Research University, For Sports Fans, State School","$63,700 ","$108,800 ",19%
625,Georgetown College,"Liberal Arts School, Private School, Religious","$57,700 ","$108,800 ",13%
628,Harding University,"Private School, Religious","$62,500 ","$108,700 ",13%
628,Samford University,"Private School, Religious, For Sports Fans","$62,000 ","$108,700 ",3%
630,Thomas More University,"Private School, Religious","$61,200 ","$108,600 ",9%
631,CUNY New York City College of Technology,State School,"$66,600 ","$108,500 ",22%
632,Hawaii Pacific University,Private School,"$67,200 ","$108,400 ",14%
633,University of Akron Main Campus,"Research University, For Sports Fans, State School","$65,200 ","$108,300 ",23%
633,Old Dominion University,"Research University, For Sports Fans, State School","$63,900 ","$108,300 ",22%
633,University of Pittsburgh-Johnstown,"Liberal Arts School, State School","$63,300 ","$108,300 ",48%
636,Medical University of South Carolina,State School,"$74,800 ","$108,200 ",5%
636,Saint Vincent College,"Liberal Arts School, Private School, Religious","$62,700 ","$108,200 ",22%
636,University of Illinois Springfield,State School,"$61,400 ","$108,200 ",27%
636,Dordt University,"Private School, Religious","$65,200 ","$108,200 ",16%
640,Curry College,Private School,"$62,900 ","$108,100 ",3%
641,University of Wisconsin-Whitewater,State School,"$61,600 ","$107,900 ",7%
641,Dakota State University,"Engineering, State School","$63,900 ","$107,900 ",68%
641,Westminster College (Pennsylvania),"Liberal Arts School, Private School, Religious","$57,400 ","$107,900 ",15%
641,The Master's University and Seminary,"Private School, Religious","$63,800 ","$107,900 ",6%
645,Florida Gulf Coast University,"For Sports Fans, State School","$60,500 ","$107,800 ",10%
646,University of South Carolina-Columbia,"Research University, For Sports Fans, State School","$65,400 ","$107,700 ",19%
646,Rollins College,Private School,"$62,300 ","$107,700 ",8%
646,College of Saint Benedict,"Liberal Arts School, Private School, Religious","$61,800 ","$107,700 ",18%
646,Lesley University,"Private School, Research University","$56,300 ","$107,700 ",3%
650,University of Houston-Downtown,State School,"$63,800 ","$107,600 ",6%
650,Washington College,"Liberal Arts School, Private School","$63,000 ","$107,600 ",22%
652,Virginia Commonwealth University,"Research University, For Sports Fans, State School","$63,200 ","$107,500 ",19%
652,Carroll University,"Private School, Religious","$58,900 ","$107,500 ",13%
652,West Chester University of Pennsylvania,State School,"$61,500 ","$107,500 ",9%
655,SUNY Oneonta,State School,"$60,100 ","$107,400 ",10%
655,College of Charleston,"For Sports Fans, State School","$62,500 ","$107,400 ",20%
655,University of La Verne,"Private School, Research University","$63,100 ","$107,400 ",5%
655,University of Missouri-Kansas City,"Research University, For Sports Fans, State School","$64,600 ","$107,400 ",23%
659,Beloit College,"Liberal Arts School, Private School","$60,400 ","$107,300 ",25%
659,University of Nebraska at Omaha,"Research University, For Sports Fans, State School","$62,400 ","$107,300 ",17%
661,Cabrini University,"Private School, Religious","$59,900 ","$107,200 ",7%
661,Olivet Nazarene University,"Private School, Religious","$63,500 ","$107,200 ",11%
661,Fitchburg State University,State School,"$58,200 ","$107,200 ",8%
664,Marietta College,Private School,"$60,300 ","$107,100 ",22%
664,Wright State University-Main Campus,"Research University, For Sports Fans, State School","$64,200 ","$107,100 ",27%
664,Carthage College,"Liberal Arts School, Private School, Religious","$61,100 ","$107,100 ",14%
664,Bethel University (Minnesota),"Private School, Religious","$65,000 ","$107,100 ",10%
668,Seattle Central College,State School,"$66,600 ","$107,000 ",18%
668,Benedictine University,"Private School, Religious, Research University","$64,300 ","$107,000 ",12%
668,Cleary University,"Business, Private School","$60,900 ","$107,000 ",0%
671,Louisiana State University Health Sciences Center-New Orleans,State School,"$64,200 ","$106,900 ",2%
672,The University of Montana,"Research University, For Sports Fans, State School","$58,200 ","$106,800 ",8%
673,DeSales University,"Private School, Religious","$62,300 ","$106,700 ",8%
673,Longwood University,"For Sports Fans, State School","$58,900 ","$106,700 ",5%
673,Dallas Baptist University,"Private School, Religious, Research University","$63,400 ","$106,700 ",11%
676,Amberton University,"Private School, Religious","$66,100 ","$106,600 ",0%
676,University of North Florida,"For Sports Fans, State School","$61,300 ","$106,600 ",14%
