Rank,School Name,School Type,Early Career Pay,Mid Career Pay,Percent of STEM Degrees
72,Virginia Military Institute,"Liberal Arts School, For Sports Fans, State School","$80,200 ","$149,500 ",49%
73,The King's University,"Private School, Religious","$73,500 ","$149,400 ",0%
74,University of California-Los Angeles,"Research University, For Sports Fans, State School","$78,600 ","$149,200 ",34%
75,Bentley University,"Business, Private School","$86,100 ","$149,100 ",9%
76,Saint Mary's College of California,"Private School, Religious, For Sports Fans","$74,200 ","$148,100 ",7%
76,Kettering University,"Engineering, Private School","$88,800 ","$148,100 ",74%
78,University of California-Davis,"Research University, For Sports Fans, State School","$79,000 ","$147,900 ",36%
79,Davidson College,"Liberal Arts School, Private School, Religious, For Sports Fans","$73,000 ","$147,800 ",29%
80,Case Western Reserve University,"Private School, Research University","$84,500 ","$147,600 ",38%
81,United States Coast Guard Academy,"Engineering, State School","$93,400 ","$147,400 ",67%
82,Franklin and Marshall College,"Liberal Arts School, Private School","$73,000 ","$147,200 ",25%
82,Tufts University,"Private School, Research University","$83,700 ","$147,200 ",28%
84,Boston College,"Private School, Religious, Research University, For Sports Fans","$82,000 ","$147,000 ",17%
85,Trinity College,"Liberal Arts School, Private School","$77,000 ","$146,900 ",22%
86,Washington University in St Louis,"Private School, Research University","$83,200 ","$146,800 ",32%
87,MCPHS University,Private School,"$77,700 ","$146,500 ",1%
88,Haverford College,"Liberal Arts School, Private School","$76,600 ","$146,400 ",41%
89,Illinois Institute of Technology,"Engineering, Private School, Research University","$82,200 ","$146,300 ",58%
90,Johns Hopkins University,"Private School, Research University","$86,700 ","$146,200 ",35%
91,Carleton College,"Liberal Arts School, Private School","$75,200 ","$146,100 ",48%
92,University of Rochester,"Private School, Research University","$79,800 ","$145,600 ",29%
92,Missouri University of Science and Technology,"Engineering, Research University, State School","$83,900 ","$145,600 ",78%
94,Middlebury College,"Liberal Arts School, Private School","$77,800 ","$145,400 ",23%
95,Albany College of Pharmacy and Health Sciences,Private School,"$81,200 ","$145,000 ",7%
96,Northwestern University,"Private School, Research University, For Sports Fans","$81,300 ","$144,700 ",20%
97,Villanova University,"Private School, Religious, Research University, For Sports Fans","$84,700 ","$144,600 ",23%
97,Loyola University Maryland,"Private School, Religious, For Sports Fans","$75,100 ","$144,600 ",10%
99,New Mexico Institute of Mining and Technology,"Engineering, State School","$82,300 ","$144,400 ",92%
100,University of Illinois Urbana-Champaign,"Research University, For Sports Fans, State School","$80,200 ","$144,200 ",37%
101,Denison University,"Liberal Arts School, Private School","$67,100 ","$144,100 ",18%
102,Amherst College,"Liberal Arts School, Private School","$79,000 ","$143,900 ",39%
102,College of the Holy Cross,"Liberal Arts School, Private School, Religious, For Sports Fans","$75,800 ","$143,900 ",21%
104,Seattle University,"Private School, Religious, For Sports Fans","$78,300 ","$143,800 ",18%
104,Pomona College,"Liberal Arts School, Private School","$85,500 ","$143,800 ",39%
106,University of San Diego,"Private School, Religious, Research University, For Sports Fans","$75,700 ","$143,700 ",16%
107,Fordham University,"Private School, Religious, Research University, For Sports Fans","$75,700 ","$143,600 ",9%
108,Texas A & M University-College Station,"Research University, For Sports Fans, State School","$74,600 ","$143,500 ",32%
109,Emory University,"Private School, Religious, Research University","$80,900 ","$143,300 ",24%
110,Southern Methodist University,"Private School, Religious, Research University, For Sports Fans","$76,400 ","$142,300 ",22%
111,University of Michigan-Ann Arbor,"Research University, For Sports Fans, State School","$83,100 ","$142,100 ",41%
112,Providence College,"Private School, Religious, For Sports Fans","$74,100 ","$141,900 ",12%
113,Occidental College,"Liberal Arts School, Private School","$71,800 ","$141,700 ",24%
114,San Jose State University,"For Sports Fans, State School","$82,200 ","$141,400 ",22%
115,Rutgers University-New Brunswick,"Research University, For Sports Fans, State School","$75,900 ","$141,200 ",31%
115,Binghamton University,"Research University, For Sports Fans, State School","$75,700 ","$141,200 ",38%
117,The University of Texas at Austin,"Research University, For Sports Fans, State School","$77,400 ","$141,100 ",30%
118,Wittenberg University,"Liberal Arts School, Private School, Religious","$62,800 ","$140,900 ",15%
119,Reed College,"Liberal Arts School, Private School","$72,400 ","$140,800 ",27%
120,University of Colorado Boulder,"Research University, For Sports Fans, State School","$74,200 ","$140,700 ",39%
121,Polytechnic University of Puerto Rico-Miami,"Business, Private School","$79,000 ","$140,200 ",21%
122,University of Washington-Seattle Campus,"Research University, For Sports Fans, State School","$80,100 ","$139,900 ",38%
122,Milwaukee School of Engineering,"Engineering, Private School","$84,300 ","$139,900 ",70%
124,University of Maryland-College Park,"Research University, For Sports Fans, State School","$79,100 ","$139,700 ",39%
125,Virginia Polytechnic Institute and State University,"Research University, For Sports Fans, State School","$80,400 ","$139,600 ",39%
126,University of St Thomas (Minnesota),"Private School, Religious, Research University","$72,600 ","$139,500 ",24%
127,Michigan Technological University,"Engineering, Research University, State School","$82,400 ","$139,300 ",79%
128,Hampden-Sydney College,"Liberal Arts School, Private School","$73,800 ","$139,100 ",22%
129,Capitol Technology University,"Engineering, Private School","$91,000 ","$139,000 ",78%
130,Wellesley College,"Liberal Arts School, Private School","$79,700 ","$138,800 ",37%
131,Whitman College,"Liberal Arts School, Private School","$71,100 ","$138,500 ",33%
131,Ursinus College,"Liberal Arts School, Private School","$67,900 ","$138,500 ",45%
133,University of Puget Sound,"Liberal Arts School, Private School","$70,000 ","$138,200 ",19%
134,Menlo College,"Business, Private School","$78,800 ","$138,100 ",0%
134,Wentworth Institute of Technology,"Engineering, Private School","$80,800 ","$138,100 ",51%
136,University of San Francisco,"Private School, Religious, Research University, For Sports Fans","$76,200 ","$138,000 ",13%
137,Westmont College,"Liberal Arts School, Private School, Religious","$68,600 ","$137,900 ",21%
138,Brigham Young University,"Private School, Religious, Research University, Sober School, For Sports Fans","$74,100 ","$137,800 ",30%
139,Hofstra University,"Private School, Research University, For Sports Fans","$70,200 ","$137,700 ",10%
139,Pace University,"Private School, Research University","$72,800 ","$137,700 ",11%
141,Tulane University of Louisiana,"Party School, Private School, Research University, For Sports Fans","$72,200 ","$137,600 ",21%
142,California State Polytechnic University-Pomona,State School,"$73,700 ","$137,200 ",29%
142,University of Denver,"Private School, Research University, For Sports Fans","$71,800 ","$137,200 ",13%
142,Lawrence Technological University,"Engineering, Private School","$70,900 ","$137,200 ",51%
145,CUNY Bernard M Baruch College,"Business, Sober School, State School","$73,800 ","$136,700 ",13%
145,Gonzaga University,"Private School, Religious, For Sports Fans","$75,900 ","$136,700 ",18%
147,Miami University-Oxford,"Research University, For Sports Fans, State School","$71,400 ","$136,600 ",22%
147,University of Washington-Bothell Campus,State School,"$78,800 ","$136,600 ",35%
149,Kenyon College,"Liberal Arts School, Private School","$68,700 ","$136,300 ",17%
149,William & Mary,"Research University, For Sports Fans, State School","$75,000 ","$136,300 ",22%
151,Massachusetts Maritime Academy,State School,"$83,500 ","$136,200 ",34%
152,Drexel University,"Private School, Research University, For Sports Fans","$78,700 ","$136,100 ",29%
153,Citadel Military College of South Carolina,"For Sports Fans, State School","$74,200 ","$136,000 ",21%
153,California Institute of Integral Studies,"Private School, Research University","$75,000 ","$136,000 ",0%
155,Susquehanna University,"Liberal Arts School, Private School, Religious","$64,800 ","$135,700 ",24%
155,California College of the Arts,"Art, Private School","$80,600 ","$135,700 ",8%
155,Saint Johns University,"Liberal Arts School, Private School, Religious","$74,400 ","$135,700 ",19%
158,Clark University,"Private School, Research University","$67,300 ","$135,500 ",22%
159,California State University-Chico,State School,"$71,600 ","$135,300 ",14%
160,University of California-Santa Cruz,"Research University, State School","$75,600 ","$134,900 ",45%
161,American University,"Private School, Religious, Research University, For Sports Fans","$70,700 ","$134,800 ",4%
161,University of the Pacific,"Private School, Research University, For Sports Fans","$75,900 ","$134,800 ",20%
163,Syracuse University,"Party School, Private School, Research University, For Sports Fans","$74,400 ","$134,600 ",24%
163,The Catholic University of America,"Private School, Religious, Research University","$72,500 ","$134,600 ",13%
163,Northeastern University,"Engineering, Private School, Research University, For Sports Fans","$81,800 ","$134,600 ",54%
166,The New School,"Private School, Research University","$70,400 ","$134,500 ",10%
166,University of Puerto Rico-Mayaguez,"Engineering, State School","$81,100 ","$134,500 ",54%
168,Juniata College,"Liberal Arts School, Private School","$63,500 ","$134,400 ",35%
169,St Lawrence University,"Liberal Arts School, Party School, Private School","$71,700 ","$134,000 ",24%
169,South Dakota School of Mines and Technology,"Engineering, State School","$82,100 ","$134,000 ",93%
171,Wagner College,"Private School, Religious, For Sports Fans","$71,600 ","$133,900 ",8%
172,Art Center College of Design,"Art, Private School","$80,600 ","$133,800 ",8%
173,Stony Brook University,"Research University, For Sports Fans, State School","$74,900 ","$133,700 ",34%
173,Golden Gate University,"Business, Private School","$69,900 ","$133,700 ",3%
175,Rhodes College,"Liberal Arts School, Private School, Religious","$64,100 ","$133,600 ",33%
175,Embry-Riddle Aeronautical University-Daytona Beach,Private School,"$82,200 ","$133,600 ",41%
177,University of Richmond,"Liberal Arts School, Private School, For Sports Fans","$75,000 ","$133,400 ",13%
177,Bryant University,"Business, Private School, For Sports Fans","$76,800 ","$133,400 ",4%
179,Southern California Institute of Architecture,Private School,"$69,400 ","$132,900 ",0%
